"problem","Vampire 5.0","Twee 2.6.0","E 3.3.0","CSE_E 1.7","Drodi 4.1.0","Toma 0.7","iProver 3.9.3","Vampire 4.9","CSI_Enigma 1.0.6"
"GRP164‑2","TMO‑Non","+121.74","+95.41","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"RNG029‑5","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"REL040‑1","TMO‑Non","+14.94","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"ALG213‑10","+40.45","+8.67","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","37.93","TMO‑Non"
"LAT079‑1","TMO‑Non","+232.78","+96.32","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"LAT167‑1","TMO‑Non","+153.96","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"RNG029‑6","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"REL040‑10","+33.30","+53.04","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","29.78","TMO‑Non"
"KLE152‑10","+28.78","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","30.54","TMO‑Non"
"ROB031‑2","+52.63","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"LAT206‑10","+123.52","+40.52","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"GRP177‑1","TMO‑Non","+18.35","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","77.93","6.84","TMO‑Non"
"NUM284‑10.014","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
"LCL339‑10","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","21.56","TMO‑Non"
"LAT176‑1","+19.90","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","49.90","TMO‑Non"
"ROB035‑1","+37.37","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non"
