"problem","Vampire 5.0","E 3.3.0","iProver 3.9.3","CSE_E 1.7","Drodi 4.1.0","ConnectPP 0.6.1","hopCoP 0.1","Vampire 4.9","CSI_Enigma 1.0.6","Zipperpin 2.1.9999","cvc5 1.3.0","Prover9 1109a","SPASS‑SCL 0.1","LastButNotLeast 0","LisaTT 0.9.1"
"LCL670+1.010","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","0.93","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non"
"NUN057+1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","4.61","TMO‑Non","UNK‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"LCL682+1.020","+3.32","TMO‑Non","+48.07","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","1.01","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"LCL682+1.015","+3.01","TMO‑Non","+9.94","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","2.13","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"LCL374+2*","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","69.09","UNK‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non"
"LCL394+2*","+135.25","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","9.07","UNK‑Non","TMO‑Non","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"LCL109+1*","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non"
"LCL393+2*","+177.73","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","3.95","UNK‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non"
"NUN075+1","+82.13","+153.22","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","103.65","UNK‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
"LCL876+1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non","TMO‑Non"
"NUN072+1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","TMO‑Non","TMO‑Non","GUP‑Non","UNK‑Non"
