"problem","Vampire 4.9","Vampire 5.0","E 3.3.0","cvc5 1.3.0","Leo‑III 1.7.19"
"SLH0191^1","+1.07","TMO‑Non","+3.06","10.78","TMO‑Non"
"SLH0192^1","+1.64","TMO‑Non","+2.72","2.02","TMO‑Non"
"SLH0193^1","+0.34","+0.41","+0.42","TMO‑Non","TMO‑Non"
"SLH0194^1","TMO‑Non","TMO‑Non","+1.12","7.78","TMO‑Non"
"SLH0195^1","+0.54","+0.45","+1.02","TMO‑Non","TMO‑Non"
"SLH0196^1","+0.44","+0.35","+1.26","UNK‑Non","TMO‑Non"
"SLH0197^1","+0.53","+0.33","+0.95","UNK‑Non","TMO‑Non"
"SLH0198^1","+0.96","+1.06","+1.37","1.62","TMO‑Non"
"SLH0199^1","TMO‑Non","TMO‑Non","+1.04","3.28","TMO‑Non"
"SLH0200^1","+5.77","+5.97","GUP‑Non","TMO‑Non","TMO‑Non"
"SLH0201^1","+0.52","+0.34","+0.92","1.60","TMO‑Non"
"SLH0202^1","+0.88","+0.66","+1.68","1.54","TMO‑Non"
"SLH0203^1","+0.38","+0.53","+0.40","UNK‑Non","TMO‑Non"
"SLH0204^1","+0.38","+0.54","+3.43","TMO‑Non","TMO‑Non"
"SLH0205^1","+0.91","+1.00","+1.62","UNK‑Non","TMO‑Non"
"SLH0206^1","+0.90","+0.67","+1.68","2.16","TMO‑Non"
"SLH0207^1","+0.42","+0.32","+10.11","TMO‑Non","TMO‑Non"
"SLH0208^1","TMO‑Non","UNK‑Non","+2.31","2.21","TMO‑Non"
"SLH0209^1","+0.61","+0.45","+0.44","1.15","TMO‑Non"
"SLH0210^1","+0.54","+0.50","+13.94","UNK‑Non","UNK‑Non"
"SLH0211^1","TMO‑Non","TMO‑Non","+1.31","TMO‑Non","TMO‑Non"
"SLH0212^1","+1.80","+1.67","+8.35","2.74","TMO‑Non"
"SLH0213^1","+1.56","+3.22","+0.79","3.50","TMO‑Non"
