"problem","Vampire 5.0.1","Vampire 5.0","E 3.5.1","CSI_PP 1.0","iProver 3.9.4","Zipperpin 2.1.9999","LisaST 0.9","Drodi 4.1.1","Prover9 2026‑6A","Prover9 1109a","FindProof 0.1","mrs 0.2.0","SUPr 1.0","ConnectPP 0.7.2","SATResetCoP 1.0","VIP 1.718","SPASS‑SCL 0.1.1"
"LCL556+1","+3.41","+3.32","+1.26","+1.11","+77.27","UNK","TMO","+14.03","TMO","TMO","TMO","UNK","GUP","TMO","UNK","TMO","GUP"
"SCT158+1","+2.10","+0.51","+0.47","+0.70","+1.25","+2.23","+10.90","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"ITP020+2","+1.62","+0.53","+13.27","+0.51","+5.44","+6.84","+50.67","+0.92","TMO","TMO","TMO","UNK","UNK","TMO","+164.76","TMO","GUP"
"SWB068+1","+1.94","+0.61","+0.56","+0.67","+1.07","+34.17","+9.96","+35.96","TMO","UNK","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SEV667+1*","+2.46","+0.81","+6.88","+8.56","+1.82","+2.33","TMO","TMO","UNK","TMO","TMO","TMO","+96.95","TMO","UNK","TMO","GUP"
"SEV610+1*","+2.24","+0.89","+0.84","+1.05","+1.71","UNK","+9.11","+153.37","UNK","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"SEV643+1*","+8.10","+8.46","+0.81","+0.95","+10.51","+5.43","+32.63","TMO","UNK","UNK","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SEV661+1*","+2.37","+1.69","+1.05","+0.91","+73.12","UNK","+8.02","TMO","UNK","TMO","GUP","TMO","UNK","TMO","UNK","TMO","GUP"
"AGT007+2","+3.30","+0.98","+4.19","+5.44","+57.95","UNK","+19.12","TMO","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
"SWB012+1","+1.67","+1.60","TMO","TMO","TMO","+40.99","TMO","TMO","TMO","TMO","+18.08","UNK","UNK","TMO","UNK","TMO","GUP"
"SEU427+4","+10.10","+16.51","+7.05","+16.46","TMO","TMO","TMO","+33.16","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","GUP"
"SWB063+1","+2.42","+0.45","TMO","TMO","+50.62","+0.92","+7.37","+122.99","TMO","TMO","TMO","UNK","UNK","TMO","UNK","TMO","GUP"
