"problem","Vampire 5.0.1","Vampire 5.0","Zipperpin 2.1.9999","E 3.5.1","Leo‑III 1.8.0","LEO‑II 1.7.0"
"LCL877^1","+0.61","+2.03","+46.17","TMO","TMO","+1.65"
"SEV170^5","+2.17","+4.29","+31.09","GUP","TMO","TMO"
"NUM684^4","+2.45","+1.10","+11.50","+0.61","TMO","GUP"
"SEU906^5","+0.54","+0.58","+26.86","GUP","+6.70","TMO"
"NUM746^4","TMO","+16.19","+17.41","+1.87","TMO","GUP"
"NUM702^4","+3.28","TMO","+17.71","+1.34","TMO","GUP"
"SYO067^4.002","+10.80","+116.36","+6.52","+6.11","TMO","+12.66"
"NUM699^4","+1.02","+6.15","+17.14","+0.59","TMO","GUP"
"PHI005^4","+6.18","+39.11","+10.34","+3.75","TMO","TMO"
"NUM750^4","+113.77","+71.31","+18.59","+0.83","TMO","GUP"
"NUM672^4","+0.97","+15.97","+12.16","+1.05","TMO","GUP"
"SEU486^1","+25.21","+11.12","+82.54","TMO","TMO","GUP"
"ALG265^2","+6.23","+1.52","+17.63","TMO","TMO","TMO"
"SEV529^1","+1.43","+1.27","+0.95","TMO","TMO","TMO"
"NUM671^4","+0.58","+0.48","+0.71","+0.47","TMO","GUP"
"SYO873^1","+3.19","+4.33","+105.01","+61.55","TMO","TMO"
"SEU773^1","+16.73","TMO","+40.47","+1.10","TMO","GUP"
"ITP238^3","+10.61","+17.70","+99.84","+46.24","GUP","GUP"
"SEV023^5","+4.34","+147.41","+7.82","+6.05","TMO","TMO"
"SYO066^4.003","+5.96","+52.35","+156.27","TMO","TMO","TMO"
"SEU634^1","+61.55","+77.85","+9.06","TMO","TMO","GUP"
"ITP013^2","+6.84","+3.32","+33.95","+52.96","TMO","TMO"
"NUM681^4","+0.67","+1.02","+11.35","+0.98","TMO","GUP"
"ITP292^1","+14.34","+12.56","TMO","+126.26","GUP","GUP"
"NUM743^4","TMO","+25.75","+18.47","+1.88","TMO","GUP"
"SEU711^1","+21.40","TMO","+9.68","+73.74","TMO","GUP"
"NUM677^4","+0.60","+0.73","+10.83","+0.74","TMO","GUP"
"SYO881^1","+2.71","+3.00","TMO","+60.83","TMO","TMO"
"SYO069^4.004","+17.40","+11.70","+32.21","TMO","TMO","TMO"
"NUM673^4","+0.65","+0.79","+17.45","+0.91","TMO","GUP"
"ITP021^2","+8.49","+21.05","TMO","+36.62","TMO","GUP"
"PUZ127^5","+3.79","+9.35","TMO","TMO","TMO","TMO"
